2025-08-22 14:57:57 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-22 14:57:57 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-22 14:57:57 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-22 14:57:57 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-22 14:57:57 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-22 14:57:58 | MevzuatApp | INFO | GUI başlatıldı, uygulama hazır
2025-08-22 15:03:39 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-22 15:03:39 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-22 15:03:39 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-22 15:03:39 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-22 15:03:39 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-22 15:03:40 | MevzuatApp | INFO | GUI başlatıldı, uygulama hazır
2025-08-22 15:04:45 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-22 15:04:45 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-23 19:28:34 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-23 19:28:34 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-23 19:28:34 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-23 19:28:34 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-23 19:28:34 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-23 19:28:34 | MevzuatApp | ERROR | Uygulama çalışma hatası: name 'ResultListWidget' is not defined
2025-08-23 19:28:34 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-23 19:28:34 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-23 19:28:56 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-23 19:28:56 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-23 19:28:56 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-23 19:28:56 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-23 19:28:56 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-23 19:28:56 | MevzuatApp | ERROR | Uygulama çalışma hatası: name 'ResultListWidget' is not defined
2025-08-23 19:28:56 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-23 19:28:56 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-23 19:29:37 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-23 19:29:37 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-23 19:29:37 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-23 19:29:37 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-23 19:29:37 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-23 19:29:38 | MevzuatApp | ERROR | Uygulama çalışma hatası: apply_theme() missing 1 required positional argument: 'theme_name'
2025-08-23 19:29:38 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-23 19:29:38 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-23 19:30:04 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-23 19:30:04 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-23 19:30:04 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-23 19:30:04 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-23 19:30:04 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-23 19:30:04 | MevzuatApp | ERROR | Uygulama çalışma hatası: apply_theme() missing 1 required positional argument: 'theme_name'
2025-08-23 19:30:04 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-23 19:30:04 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
2025-08-23 19:30:20 | mevzuat_main | INFO | Logger başlatıldı: mevzuat_main
2025-08-23 19:30:20 | mevzuat_main | INFO | Mevzuat Sistemi başlatılıyor...
2025-08-23 19:30:20 | MevzuatApp | INFO | Logger başlatıldı: MevzuatApp
2025-08-23 19:30:20 | MevzuatApp | INFO | Mevzuat sistemi başlatılıyor...
2025-08-23 19:30:20 | MevzuatApp | INFO | Tüm bileşenler başarıyla başlatıldı
2025-08-23 19:30:21 | MevzuatApp | ERROR | Uygulama çalışma hatası: name 'theme' is not defined
2025-08-23 19:30:21 | MevzuatApp | INFO | Uygulama kapatılıyor...
2025-08-23 19:30:21 | MevzuatApp | INFO | Uygulama temiz şekilde kapatıldı
